,time,swell,swell_dir_text,wind,wind_dir,wind_dir_text,swell_score,wind_score,total_score
0,2022-04-16 00:00:00,1.3,WSW,15.6,169,S,1,2,2
1,2022-04-16 01:00:00,1.3,WSW,15.9,168,SSE,1,2,2
2,2022-04-16 02:00:00,1.3,WSW,16.9,165,SSE,1,2,2
3,2022-04-16 03:00:00,1.3,WSW,16.5,168,SSE,1,2,2
4,2022-04-16 04:00:00,1.3,WSW,17.1,169,S,1,2,2
5,2022-04-16 05:00:00,1.3,WSW,17.5,176,S,1,2,2
6,2022-04-16 06:00:00,1.4,WSW,16.5,174,S,1,2,2
7,2022-04-16 07:00:00,1.4,WSW,15.8,175,S,1,2,2
8,2022-04-16 08:00:00,1.4,WSW,14.4,169,S,1,1,2
9,2022-04-16 09:00:00,1.5,WSW,13.0,182,S,1,1,2
10,2022-04-16 10:00:00,1.5,WSW,12.6,195,SSW,1,1,2
11,2022-04-16 11:00:00,1.5,WSW,13.6,198,SSW,1,1,2
12,2022-04-16 12:00:00,1.5,WSW,14.4,198,SSW,1,1,2
13,2022-04-16 13:00:00,1.5,WSW,15.3,200,SSW,1,2,2
14,2022-04-16 14:00:00,1.6,WSW,15.2,201,SSW,1,2,2
15,2022-04-16 15:00:00,1.6,WSW,15.2,203,SSW,1,2,2
16,2022-04-16 16:00:00,1.7,WSW,15.2,202,SSW,1,2,2
17,2022-04-16 17:00:00,1.7,WSW,18.7,202,SSW,1,2,2
18,2022-04-16 18:00:00,1.7,WSW,20.2,197,SSW,1,2,2
19,2022-04-16 19:00:00,1.8,WSW,19.4,187,S,1,2,2
20,2022-04-16 20:00:00,1.9,WSW,18.3,180,S,2,2,2
21,2022-04-16 21:00:00,1.9,WSW,16.1,179,S,2,2,2
22,2022-04-16 22:00:00,1.9,WSW,15.3,175,S,2,2,2
23,2022-04-16 23:00:00,1.8,WSW,14.8,172,S,1,1,2
24,2022-04-17 00:00:00,1.8,WSW,14.4,167,SSE,1,1,2
25,2022-04-17 01:00:00,1.8,WSW,13.4,161,SSE,1,1,2
26,2022-04-17 02:00:00,1.8,WSW,14.0,158,SSE,1,1,2
27,2022-04-17 03:00:00,1.7,WSW,13.0,156,SSE,1,0,1
28,2022-04-17 04:00:00,1.7,WSW,13.4,155,SSE,1,0,1
29,2022-04-17 05:00:00,1.6,WSW,13.0,149,SSE,1,0,1
30,2022-04-17 06:00:00,1.6,WSW,13.4,149,SSE,1,0,1
31,2022-04-17 07:00:00,1.5,WSW,12.6,148,SSE,1,0,1
32,2022-04-17 08:00:00,1.6,WSW,13.2,144,SE,1,0,1
33,2022-04-17 09:00:00,1.6,WSW,12.9,147,SSE,1,0,1
34,2022-04-17 10:00:00,1.6,WSW,13.4,152,SSE,1,0,1
35,2022-04-17 11:00:00,1.6,WSW,12.9,161,SSE,1,1,2
36,2022-04-17 12:00:00,1.6,WSW,12.3,175,S,1,1,2
37,2022-04-17 13:00:00,1.6,WSW,14.6,185,S,1,1,2
38,2022-04-17 14:00:00,1.7,WSW,16.7,196,SSW,1,2,2
39,2022-04-17 15:00:00,1.7,WSW,17.1,198,SSW,1,2,2
40,2022-04-17 16:00:00,1.8,WSW,17.7,198,SSW,1,2,2
41,2022-04-17 17:00:00,1.8,WSW,16.3,194,SSW,1,2,2
42,2022-04-17 18:00:00,1.8,WSW,19.8,184,S,1,2,2
43,2022-04-17 19:00:00,1.9,WSW,18.8,178,S,2,2,2
44,2022-04-17 20:00:00,1.9,WSW,17.7,165,SSE,2,2,2
45,2022-04-17 21:00:00,2.0,WSW,15.6,159,SSE,2,2,2
46,2022-04-17 22:00:00,2.0,WSW,14.2,151,SSE,2,0,2
47,2022-04-17 23:00:00,2.0,WSW,13.0,143,SE,2,0,2
48,2022-04-18 00:00:00,2.0,WSW,13.0,138,SE,2,0,2
49,2022-04-18 01:00:00,1.9,WSW,12.4,133,SE,2,0,2
50,2022-04-18 02:00:00,1.8,WSW,12.6,132,SE,1,0,1
51,2022-04-18 03:00:00,1.8,WSW,11.7,127,SE,1,0,1
52,2022-04-18 04:00:00,1.7,WSW,11.7,121,ESE,1,0,1
53,2022-04-18 05:00:00,1.6,WSW,10.9,120,ESE,1,0,1
54,2022-04-18 06:00:00,1.6,WSW,11.1,115,ESE,1,0,1
55,2022-04-18 07:00:00,1.6,WSW,10.1,107,ESE,1,0,1
56,2022-04-18 08:00:00,1.5,WSW,11.1,104,ESE,1,0,1
57,2022-04-18 09:00:00,1.5,WSW,9.9,103,ESE,1,0,1
58,2022-04-18 10:00:00,1.5,WSW,9.3,107,ESE,1,0,1
59,2022-04-18 11:00:00,1.5,WSW,8.2,108,ESE,1,0,1
60,2022-04-18 12:00:00,1.4,WSW,6.4,123,ESE,1,0,1
61,2022-04-18 13:00:00,1.4,WSW,7.2,146,SE,1,0,1
62,2022-04-18 14:00:00,1.4,WSW,7.8,169,S,1,0,1
63,2022-04-18 15:00:00,1.4,WSW,9.1,178,S,1,0,1
64,2022-04-18 16:00:00,1.4,WSW,11.3,185,S,1,1,2
65,2022-04-18 17:00:00,1.4,WSW,12.3,189,S,1,1,2
66,2022-04-18 18:00:00,1.4,WSW,15.3,172,S,1,2,2
67,2022-04-18 19:00:00,1.4,WSW,14.6,168,SSE,1,1,2
68,2022-04-18 20:00:00,1.4,WSW,14.2,159,SSE,1,1,2
69,2022-04-18 21:00:00,1.5,WSW,11.7,143,SE,1,0,1
70,2022-04-18 22:00:00,1.5,WSW,10.7,126,SE,1,0,1
71,2022-04-18 23:00:00,1.5,WSW,9.5,112,ESE,1,0,1
72,2022-04-19 00:00:00,1.4,WSW,9.3,107,ESE,1,0,1
73,2022-04-19 01:00:00,1.4,WSW,9.1,108,ESE,1,0,1
74,2022-04-19 02:00:00,1.4,WSW,9.9,105,ESE,1,0,1
75,2022-04-19 03:00:00,1.4,WSW,9.1,100,E,1,0,1
76,2022-04-19 04:00:00,1.4,WSW,9.5,101,E,1,0,1
77,2022-04-19 05:00:00,1.4,WSW,9.3,103,ESE,1,0,1
78,2022-04-19 06:00:00,1.4,WSW,9.9,96,E,1,0,1
79,2022-04-19 07:00:00,1.4,WSW,9.0,96,E,1,0,1
80,2022-04-19 08:00:00,1.4,WSW,9.9,96,E,1,0,1
81,2022-04-19 09:00:00,1.4,WSW,9.0,95,E,1,0,1
82,2022-04-19 10:00:00,1.3,WSW,8.4,95,E,1,0,1
83,2022-04-19 11:00:00,1.3,WSW,7.4,94,E,1,0,1
84,2022-04-19 12:00:00,1.3,WSW,5.6,121,ESE,1,0,1
85,2022-04-19 13:00:00,1.3,WSW,7.2,168,SSE,1,0,1
86,2022-04-19 14:00:00,1.3,WSW,9.9,196,SSW,1,0,1
87,2022-04-19 15:00:00,1.3,WSW,11.4,196,SSW,1,1,2
88,2022-04-19 16:00:00,1.3,WSW,13.0,199,SSW,1,1,2
89,2022-04-19 17:00:00,1.4,WSW,15.0,202,SSW,1,1,2
90,2022-04-19 18:00:00,1.4,WSW,15.9,191,S,1,2,2
91,2022-04-19 19:00:00,1.4,WSW,14.8,180,S,1,1,2
92,2022-04-19 20:00:00,1.4,WSW,13.4,164,SSE,1,1,2
93,2022-04-19 21:00:00,1.4,WSW,11.1,148,SSE,1,0,1
94,2022-04-19 22:00:00,1.4,WSW,9.9,136,SE,1,0,1
95,2022-04-19 23:00:00,1.4,WSW,8.7,118,ESE,1,0,1
96,2022-04-20 00:00:00,1.4,WSW,9.1,112,ESE,1,0,1
97,2022-04-20 01:00:00,1.4,WSW,9.5,105,ESE,1,0,1
98,2022-04-20 02:00:00,1.5,WSW,10.5,105,ESE,1,0,1
99,2022-04-20 03:00:00,1.5,WSW,9.9,103,ESE,1,0,1
100,2022-04-20 04:00:00,1.5,WSW,9.9,101,E,1,0,1
101,2022-04-20 05:00:00,1.5,WSW,9.9,99,E,1,0,1
102,2022-04-20 06:00:00,1.5,WSW,10.7,96,E,1,0,1
103,2022-04-20 07:00:00,1.5,WSW,10.5,94,E,1,0,1
104,2022-04-20 08:00:00,1.4,WSW,11.4,92,E,1,0,1
105,2022-04-20 09:00:00,1.4,WSW,10.7,88,E,1,0,1
106,2022-04-20 10:00:00,1.4,WSW,10.5,88,E,1,0,1
107,2022-04-20 11:00:00,1.4,WSW,9.1,82,E,1,0,1
108,2022-04-20 12:00:00,1.4,WSW,7.2,96,E,1,0,1
109,2022-04-20 13:00:00,1.4,WSW,7.6,101,E,1,0,1
110,2022-04-20 14:00:00,1.4,WSW,8.4,112,ESE,1,0,1
111,2022-04-20 15:00:00,1.4,WSW,9.5,119,ESE,1,0,1
112,2022-04-20 16:00:00,1.4,WSW,10.9,130,SE,1,0,1
113,2022-04-20 17:00:00,1.5,WSW,11.1,141,SE,1,0,1
114,2022-04-20 18:00:00,1.5,WSW,12.9,133,SE,1,0,1
115,2022-04-20 19:00:00,1.5,WSW,11.9,126,SE,1,0,1
116,2022-04-20 20:00:00,1.4,WSW,10.9,115,ESE,1,0,1
117,2022-04-20 21:00:00,1.4,WSW,10.7,113,ESE,1,0,1
118,2022-04-20 22:00:00,1.4,WSW,11.7,109,ESE,1,0,1
119,2022-04-20 23:00:00,1.4,WSW,11.9,105,ESE,1,0,1
120,2022-04-21 00:00:00,1.3,WSW,13.0,103,ESE,1,0,1
121,2022-04-21 01:00:00,1.3,WSW,13.6,101,E,1,0,1
122,2022-04-21 02:00:00,1.3,WSW,15.0,101,E,1,0,1
123,2022-04-21 03:00:00,1.3,WSW,14.0,96,E,1,0,1
124,2022-04-21 04:00:00,1.3,WSW,14.2,92,E,1,0,1
125,2022-04-21 05:00:00,1.3,WSW,13.4,93,E,1,0,1
126,2022-04-21 06:00:00,1.3,WSW,14.0,86,E,1,0,1
127,2022-04-21 07:00:00,1.3,WSW,13.2,86,E,1,0,1
128,2022-04-21 08:00:00,1.3,WSW,14.2,82,E,1,0,1
129,2022-04-21 09:00:00,1.3,WSW,13.6,81,E,1,0,1
130,2022-04-21 10:00:00,1.3,WSW,14.2,78,ENE,1,0,1
131,2022-04-21 11:00:00,1.2,WSW,13.4,74,ENE,0,0,0
132,2022-04-21 12:00:00,1.2,WSW,11.1,76,ENE,0,0,0
133,2022-04-21 13:00:00,1.2,WSW,11.7,82,E,0,0,0
134,2022-04-21 14:00:00,1.1,WSW,12.3,85,E,0,0,0
135,2022-04-21 15:00:00,1.1,WSW,12.9,89,E,0,0,0
136,2022-04-21 16:00:00,1.1,WSW,13.4,88,E,0,0,0
137,2022-04-21 17:00:00,1.1,WSW,13.0,94,E,0,0,0
138,2022-04-21 18:00:00,1.1,WSW,15.3,97,E,0,0,0
139,2022-04-21 19:00:00,1.1,WSW,14.2,101,E,0,0,0
140,2022-04-21 20:00:00,1.1,WSW,13.8,104,ESE,0,0,0
141,2022-04-21 21:00:00,1.1,WSW,12.9,100,E,0,0,0
142,2022-04-21 22:00:00,1.1,WSW,13.4,97,E,0,0,0
143,2022-04-21 23:00:00,1.1,WSW,14.0,93,E,0,0,0
144,2022-04-22 00:00:00,1.1,WSW,15.0,90,E,0,0,0
145,2022-04-22 01:00:00,1.1,WSW,15.6,86,E,0,0,0
146,2022-04-22 02:00:00,1.1,WSW,17.7,82,E,0,0,0
147,2022-04-22 03:00:00,1.1,WSW,16.3,81,E,0,0,0
148,2022-04-22 04:00:00,1.1,WSW,16.7,80,E,0,0,0
149,2022-04-22 05:00:00,1.1,WSW,16.1,79,E,0,0,0
150,2022-04-22 06:00:00,1.1,WSW,16.7,78,ENE,0,0,0
151,2022-04-22 07:00:00,1.1,WSW,16.1,78,ENE,0,0,0
152,2022-04-22 08:00:00,1.1,WSW,17.5,76,ENE,0,0,0
153,2022-04-22 09:00:00,1.1,WSW,16.9,75,ENE,0,0,0
154,2022-04-22 10:00:00,1.1,WSW,17.9,72,ENE,0,0,0
155,2022-04-22 11:00:00,1.0,WSW,16.9,70,ENE,0,0,0
156,2022-04-22 12:00:00,1.0,WSW,14.2,70,ENE,0,0,0
157,2022-04-22 13:00:00,1.0,WSW,15.2,69,ENE,0,0,0
158,2022-04-22 14:00:00,0.9,WSW,15.6,69,ENE,0,0,0
159,2022-04-22 15:00:00,0.9,WSW,15.8,71,ENE,0,0,0
160,2022-04-22 16:00:00,0.9,WSW,15.8,72,ENE,0,0,0
161,2022-04-22 17:00:00,0.8,WSW,15.2,72,ENE,0,0,0
162,2022-04-22 18:00:00,0.8,WSW,18.5,73,ENE,0,0,0
163,2022-04-22 19:00:00,0.8,WSW,17.9,76,ENE,0,0,0
164,2022-04-22 20:00:00,0.8,WSW,17.7,75,ENE,0,0,0
165,2022-04-22 21:00:00,0.8,WSW,15.8,74,ENE,0,0,0
166,2022-04-22 22:00:00,0.8,WSW,15.2,71,ENE,0,0,0
167,2022-04-22 23:00:00,0.9,WSW,14.4,68,ENE,0,0,0
